gamma_genes	alpha_genes	il2_genes	antigen_presentation	dysfunction	TLS
CXCL11	CXCL11	CXCL10	ARG2	LAG3	CCL2
IDO1	CXCL10	GBP4	ATF3	PDCD1	CCL4
HLA-DQA1	GBP4	BCL2	B2M	HAVCR2	CCL5
CXCL10	IFI35	SLC1A5	BATF3	CTLA4	CCL8
GBP4	RSAD2	SOCS1	BLK	CXCL13	CCL18
IFI35	ISG15	IL2RB	CCL22		CCL19
RSAD2	IFIT2	SELL	CCL3/L1		CCL21
ISG15	OASL	MYC	CCL4		CXCL9
IFIT2	IFIT3		CCL5		CXCL10
OASL	GBP2		CCR5		CXCL11
CD274	IFIH1		CD14		CXCL13
IFIT3	IRF1		CD19		
CCL7	MX1		CD1C		
CD40	PSMB9		CD27		
IFIH1	PARP9		CD274		
CXCL9	SAMD9		CD276		
IRF1	SELL		CD38		
OAS3	IFI27		CD3E		
IRF5			CD4		
SOCS1			CD58		
MX1			CD68		
PSMB9			CD74		
GZMA			CD79B		
IL2RB			CD80		
FCGR1A			CD86		
IFI27			CD8A		
			CMKLR1		
			CST2		
			CTLA4		
			CTSS		
			CTSW		
			CXCL1		
			CXCL10		
			CXCL11		
			CXCL12		
			CXCL9		
			CXCR6		
			ELOB		
			FOXP3		
			GNLY		
			GZMA		
			GZMB		
			HERC6		
			HLA-A		
			HLA-B		
			HLA-C		
			HLA-DMA		
			HLA-DMB		
			HLA-DOA		
			HLA-DOB		
			HLA-DPA1		
			HLA-DPB1		
			HLA-DQA1		
			HLA-DQA2		
			HLA-DQB1		
			HLA-DRA		
			HLA-DRB1		
			HLA-DRB5		
			HLA-E		
			HLA-F		
			ICAM1		
			ICAM2		
			ICAM3		
			ICOSLG		
			IDO1		
			IFNG		
			IFNGR1		
			IFNGR2		
			IL11		
			IL2		
			IL33		
			IL4		
			IRF1		
			IRF8		
			LAG3		
			LDHA		
			LDHB		
			LILRA1		
			LILRA3		
			MICA		
			MS4A1		
			NKG7		
			PDCD1		
			PDCD1LG2		
			PRF1		
			PSMB10		
			PSMB5		
			PSMB8		
			PSMB9		
			SNCA		
			STAT1		
			TAP1		
			TAP2		
			TAPBP		
			TAPBPL		
			TGFB2		
			THBD		
			THBS1		
			TIGIT		
			TMEM173		
			ULBP2		
